sellers;sku_sap;stock_seguridad
E525;1355910;10000
E525;1355911;10000
E525;1355912;10000
E525;1355913;10000
E525;2262415;10000
E525;1162876001;10000
E525;1162876002;10000
E525;1162876003;10000
E525;1162876007;10000
E525;1169045001;10000
E525;1169045002;10000
E525;1169045003;10000
E525;1169045004;10000
E525;1169046001;10000
E525;1169046002;10000
E525;1169046003;10000
E525;1169046004;10000
E525;1169046005;10000
E525;1169048001;10000
E525;1169048002;10000
E525;1169050001;10000
E525;1169050002;10000
E525;492537;10000
E525;581337;10000
E525;826145;10000
E525;1057857;10000
E525;1144307;10000
E525;1161541;10000
E525;1161542;10000
E525;1190863;10000
E525;1199434;10000
E525;1317363;10000
E525;1317364;10000
E525;1336302;10000
E525;157979;10000
E525;157980;10000
E525;158067;10000
E525;158576;10000
E525;158840;10000
E525;158844;10000
E525;278675;10000
E525;826147;10000
E525;826151;10000
E525;829517;10000
E525;838658;10000
E525;1056143;10000
E525;1161521;10000
E525;1161522;10000
E525;1165161;10000
E525;1251048;10000
E525;1254888;10000
E525;1255101;10000
E525;1255102;10000
E525;1255105;10000
E525;1258321;10000
E525;1327850;10000
E525;157736;10000
E525;158609;10000
E525;826146;10000
E525;1056142;10000
E525;1119210;10000
E525;1161513;10000
E525;1161514;10000
E525;1161516;10000
E525;1186621;10000
E525;1199428;10000
E525;1199429;10000
E525;1199430;10000
E525;1199431;10000
E525;1199432;10000
E525;1317359;10000
E525;1317360;10000
E525;890444;10000
E525;890445;10000
E525;157751;10000
E525;157754;10000
E525;211725;10000
E525;606015;10000
E525;670089;10000
E525;891087;10000
E525;1165163;10000
E525;1165159;10000
E525;1165160;10000
E525;1165162;10000
E525;1298534;10000
E525;1258839;10000
E525;890447;10000
E525;890448;10000
E525;890451;10000
E525;890452;10000
E525;1123418;10000
E525;1123419;10000
E525;1143804;10000
E525;1143805;10000
E525;1143806;10000
E525;1143808;10000
E525;1143809;10000
E525;1143810;10000
E525;1143811;10000
E525;1241226;10000
E525;1241227;10000
E525;449593;10000
E525;719633;10000
E525;719637;10000
E525;802592;10000
E525;802593;10000
E525;810628;10000
E525;818845;10000
E525;841572;10000
E525;1059584;10000
E525;1091079;10000
E525;1091080;10000
E525;1091081;10000
E525;1091082;10000
E525;1091083;10000
E525;1091084;10000
E525;1091085;10000
E525;1091086;10000
E525;1091088;10000
E525;1091089;10000
E525;1091090;10000
E525;1091091;10000
E525;1091092;10000
E525;1100288;10000
E525;1117936;10000
E525;1154622;10000
E525;1154623;10000
E525;1154624;10000
E525;1154625;10000
E525;1154626;10000
E525;1166409;10000
E525;1166410;10000
E525;1166412;10000
E525;1166414;10000
E525;1169781;10000
E525;1169782;10000
E525;1169783;10000
E525;1233032;10000
E525;1233033;10000
E525;1233034;10000
E525;1238026;10000
E525;1251104;10000
E525;1251105;10000
E525;1251106;10000
E525;1251107;10000
E525;1306218;10000
E525;1306220;10000
E525;1345569;10000
E525;1345570;10000
E525;1345572;10000
E525;1345573;10000
E525;1345574;10000
E525;1347029;10000
E525;1347042;10000
E525;1347043;10000
E525;1347044;10000
E525;1347045;10000
E525;1347046;10000
E525;1347047;10000
E525;1347048;10000
E525;1347049;10000
E525;1347050;10000
E525;1347051;10000
E525;1347052;10000
E525;1347053;10000
E525;1159276;10000
E525;1277539;10000
E525;9007452;10000
E525;158372;10000
E525;158374;10000
E525;158378;10000
E525;158595;10000
E525;158598;10000
E525;158599;10000
E525;277162;10000
E525;277163;10000
E525;879057;10000
E525;879058;10000
E525;879059;10000
E525;879060;10000
E525;879061;10000
E525;879062;10000
E525;879063;10000
E525;879064;10000
E525;879065;10000
E525;892607;10000
E525;899045;10000
E525;1048122;10000
E525;1048123;10000
E525;1087116;10000
E525;1087195;10000
E525;1087196;10000
E525;1087118;10000
E525;1087121;10000
E525;1087136;10000
E525;1087137;10000
E525;1087138;10000
E525;1087139;10000
E525;1087140;10000
E525;1092403;10000
E525;1092411;10000
E525;1092413;10000
E525;1092414;10000
E525;1092415;10000
E525;1092416;10000
E525;1092417;10000
E525;1092418;10000
E525;1092477;10000
E525;1092478;10000
E525;1098132;10000
E525;1098133;10000
E525;1215318;10000
E525;1238185;10000
E525;1284613;10000
E525;1284614;10000
E525;1312646;10000
E525;1341510;10000
E525;1277540;10000
E525;1277541;10000
E525;1277542;10000
E525;1277543;10000
E525;1277544;10000
E525;158762;10000
E525;158760;10000
E525;235231;10000
E525;841573;10000
E525;937793;10000
E525;937796;10000
E525;1184989;10000
E525;1233037;10000
E525;1301355;10000
E525;1301356;10000
E525;1237913;10000
E525;1277501;10000
E525;1277535;10000
E525;1277290;10000
E525;1277298;10000
E525;9006187;10000
E525;9006190;10000
E525;9008827;10000
E525;9007479;10000
E525;9007481;10000
E525;158774;10000
E525;1169216;10000
E525;1181060;10000
E525;1203169;10000
E525;1284807;10000
E525;1345566;10000
E525;1345567;10000
E525;9005811;10000
E525;1170052;ACTIVAR
E525;1170053;ACTIVAR
E525;1170054;ACTIVAR
E525;1170055;ACTIVAR
E525;1170056;ACTIVAR
E525;1175682;ACTIVAR
E525;1236553;ACTIVAR
E525;1236554;ACTIVAR
E525;118956;ACTIVAR
E525;118957;ACTIVAR
E525;118958;ACTIVAR
E525;118959;ACTIVAR
E525;119198;ACTIVAR
E525;119201;ACTIVAR
E525;144335;ACTIVAR
E525;144336;ACTIVAR
E525;144337;ACTIVAR
E525;474018;ACTIVAR
E525;474019;ACTIVAR
E525;474020;ACTIVAR
E525;774538;ACTIVAR
E525;774539;ACTIVAR
E525;774535;ACTIVAR
E525;774536;ACTIVAR
E525;774537;ACTIVAR
E525;183400;ACTIVAR
E525;425719;ACTIVAR
E525;530923;ACTIVAR
E525;530924;ACTIVAR
E525;530925;ACTIVAR
E525;762049;ACTIVAR
E525;807067;ACTIVAR
E525;807068;ACTIVAR
E525;807069;ACTIVAR
E525;807074;ACTIVAR
E525;807075;ACTIVAR
E525;807076;ACTIVAR
E525;807077;ACTIVAR
E525;807078;ACTIVAR
E525;812171;ACTIVAR
E525;814248;ACTIVAR
E525;814249;ACTIVAR
E525;814250;ACTIVAR
E525;814237;ACTIVAR
E525;814246;ACTIVAR
E525;814247;ACTIVAR
E525;814210;ACTIVAR
E525;814212;ACTIVAR
E525;814213;ACTIVAR
