Seller;Articulo;Stock;warehouse
E599;1154331;0;0001
E599;1154334;0;0001
E599;1154335;0;0001
E599;1154336;0;0001
E599;1154895;0;0001
E599;1155402;0;0001
E599;1155603;0;0001
E599;1155769;0;0001
E599;1156391;0;0001
E599;1156683;0;0001
E599;1157100;0;0001
E599;1157351;0;0001
E599;1157355;0;0001
E599;1157586;0;0001
E599;1157587;0;0001
E599;1157905;0;0001
E599;1157906;0;0001
E599;1157908;0;0001
E599;1157909;0;0001
E599;1157911;0;0001
E599;1157912;0;0001
E599;1157915;0;0001
E599;1158575;0;0001
E599;1158579;0;0001
E599;1159175;0;0001
E599;1159470;0;0001
E599;1160022;0;0001
E599;1160026;0;0001
E599;1160043;0;0001
E599;1160632;0;0001
E599;1160633;0;0001
E599;1160634;0;0001
E599;1160636;0;0001
E599;1160644;0;0001
E599;1160645;0;0001
E599;1160683;0;0001
E599;1161443;0;0001
E599;1161743;0;0001
E599;1162201;0;0001
E599;1162202;0;0001
E599;1162203;0;0001
E599;1162299;0;0001
E599;1162800;0;0001
E599;1163440;0;0001
E599;1164002;0;0001
E599;1164692;0;0001
E599;1167471;0;0001
E599;1167612;0;0001
E599;1167613;0;0001
E599;1168200;0;0001
E599;1168295;0;0001
E599;1169612;0;0001
E599;1169613;0;0001
E599;1170613;0;0001
E599;1173919;0;0001
E599;1173923;0;0001
E599;1174765;0;0001
E599;1174811;0;0001
E599;1174813;0;0001
E599;1174872;0;0001
E599;1176175;0;0001
E599;1177400;0;0001
E599;1177408;0;0001
E599;1177866;0;0001
E599;1178535;0;0001
E599;1178538;0;0001
E599;1179618;0;0001
E599;1179668;0;0001
E599;1181332;0;0001
E599;1181949;0;0001
E599;1182016;0;0001
E599;1182020;0;0001
E599;1182977;0;0001
E599;1183860;0;0001
E599;1183871;0;0001
E599;1183872;0;0001
E599;1183879;0;0001
E599;1183885;0;0001
E599;1183891;0;0001
E599;1183892;0;0001
E599;1184573;0;0001
E599;1184574;0;0001
E599;1184577;0;0001
E599;1185504;0;0001
E599;1186635;0;0001
E599;1187332;0;0001
E599;1187376;0;0001
E599;1187406;0;0001
E599;1187407;0;0001
E599;1187408;0;0001
E599;1187461;0;0001
E599;1187495;0;0001
E599;1187499;0;0001
E599;1187500;0;0001
E599;1187510;0;0001
E599;1187511;0;0001
E599;1187517;0;0001
E599;1187519;0;0001
E599;1187520;0;0001
E599;1187951;0;0001
E599;1188040;0;0001
E599;1188044;0;0001
E599;1188077;0;0001
E599;1188133;0;0001
E599;1188173;0;0001
E599;1188174;0;0001
E599;1188175;0;0001
E599;1188190;0;0001
E599;1188191;0;0001
E599;1188634;0;0001
E599;1188636;0;0001
E599;1188639;0;0001
E599;1188674;0;0001
E599;1188690;0;0001
E599;1188692;0;0001
E599;1188694;0;0001
E599;1188711;0;0001
E599;1188712;0;0001
E599;1188722;0;0001
E599;1188740;0;0001
E599;1188762;0;0001
E599;1188802;0;0001
E599;1188803;0;0001
E599;1188805;0;0001
E599;1188819;0;0001
E599;1188828;0;0001
E599;1188829;0;0001
E599;1188832;0;0001
E599;1188833;0;0001
E599;1188901;0;0001
E599;1188920;0;0001
E599;1188948;0;0001
E599;1188994;0;0001
E599;1188998;0;0001
E599;1189438;0;0001
E599;1189439;0;0001
E599;1189453;0;0001
E599;1189621;0;0001
E599;1190433;0;0001
E599;1191874;0;0001
E599;1191875;0;0001
E599;1191877;0;0001
E599;1191878;0;0001
E599;1192556;0;0001
E599;1193059;0;0001
E599;1193060;0;0001
E599;1193765;0;0001
E599;1194165;0;0001
E599;1194166;0;0001
E599;1194172;0;0001
E599;1194175;0;0001
E599;1194176;0;0001
E599;1194503;0;0001
E599;1195124;0;0001
E599;1195161;0;0001
E599;1196780;0;0001
E599;1196781;0;0001
E599;1196789;0;0001
E599;1196882;0;0001
E599;1197296;0;0001
E599;1197837;0;0001
E599;1198003;0;0001
