Seller;Codigo;S.Seg.;warehouse
E599;1233903;8;0003
E599;1234083;7;0003
E599;1240755;25;0003
E599;1288708;5;0003
E599;1290012;30;0003
E599;1304311;25;0003
E599;1308691;17;0003
E599;1316097;20;0003
E599;1316168;18;0003
E599;1318076;6;0003
E599;1319185;7;0003
E599;1319186;3;0003
E599;1320355;9;0003
E599;590905;8;0003
E599;590934;4;0003
E599;765861;8;0003
E599;765864;7;0003
E599;765903;7;0003
E599;9011826;30;0003
E599;1196136;28;0003
E599;1252664;13;0003
E599;1253407;16;0003
E599;1294013;30;0003
E599;1304306;13;0003
E599;1304349;22;0003
E599;1308692;20;0003
E599;1308693;7;0003
E599;1316096;21;0003
E599;1316166;17;0003
E599;1316208;30;0003
E599;1318075;30;0003
E599;1333234;30;0003
E599;629058;13;0003
E599;765884;5;0003
E599;9011497;7;0003
E599;1003765;22;0003
E599;1196095;3;0003
E599;1233907;30;0003
E599;1233908;30;0003
E599;1253349;4;0003
E599;1256551;30;0003
E599;1261000;4;0003
E599;1276835;28;0003
E599;1291744;22;0003
E599;1299278;20;0003
E599;1299456;4;0003
E599;1304310;11;0003
E599;1308690;30;0003
E599;1310287;30;0003
E599;1316114;4;0003
E599;1316115;20;0003
E599;1316167;24;0003
E599;1317928;21;0003
E599;1317929;30;0003
E599;1317976;12;0003
E599;629067;12;0003
E599;776084;21;0003
E599;1196223;20;0003
E599;1196114;29;0003
E599;1299657;12;0003
E599;1141840;4;0003
E599;1177988;13;0003
E599;1253353;16;0003
E599;1264030;30;0003
E599;1301878;4;0003
E599;1304064;6;0003
E599;1307042;10;0003
E599;1316139;16;0003
E599;1330010;14;0003
E599;590890;11;0003
E599;590920;5;0003
E599;1189565;13;0003
E599;1233906;30;0003
E599;1259224;30;0003
E599;1280871;30;0003
E599;1291745;19;0003
E599;1342772;30;0003
E599;629060;14;0003
E599;776085;30;0003
E599;928244;30;0003
E599;1088656;4;0003
E599;1088658;10;0003
E599;1308689;28;0003
E599;1316092;22;0003
E599;1316101;21;0003
E599;1316140;4;0003
E599;590907;9;0003
E599;590918;10;0003
E599;765863;3;0003
E599;765883;6;0003
E599;765912;4;0003
E599;1201769;30;0003
E599;1301552;30;0003
E599;1301553;30;0003
E599;1323027;30;0003
E599;1340752;30;0003
E599;1342778;30;0003
E599;1205897;17;0003
E599;1249146;12;0003
E599;1303317;20;0003
E599;1341623;5;0003
E599;1342401;30;0003
E599;765910;14;0003
E599;765913;14;0003
E599;847025;30;0003
E599;1261071;30;0003
E599;1343786;30;0003
E599;1343788;30;0003
E599;1277570;30;0003
E599;1285247;30;0003
E599;590884;3;0003
E599;1149697;30;0003
E599;1294397;30;0003
E599;1280909;30;0003
E599;1294230;30;0003
E599;1298824;29;0003
E599;1316520;30;0003
E599;1339046;24;0003
E599;803505;20;0003
E599;803506;30;0003
E599;1311893;30;0003
E599;561836;30;0003
E599;1296596;6;0003
E599;1149698;30;0003
E599;1264031;30;0003
E599;1076683;19;0003
E599;1161776;18;0003
E599;1161777;17;0003
E599;1192748;12;0003
E599;1216658;5;0003
E599;1234682;11;0003
E599;1245354;12;0003
E599;1268394;11;0003
E599;1273803;30;0003
E599;1310392;8;0003
E599;1310393;8;0003
E599;1310394;7;0003
E599;1322041;19;0003
E599;1083052;30;0003
E599;1196825;15;0003
E599;1311876;30;0003
E599;548096;16;0003
E599;638892;13;0003
E599;731103;16;0003
E599;590935;3;0003
E599;1323159;30;0003
E599;1237136;30;0003
E599;1279520;20;0003
E599;1321080;19;0003
E599;1321081;22;0003
E599;1321082;17;0003
E599;1315236;14;0003
E599;1321084;13;0003
E599;1277563;30;0003
E599;1321078;4;0003
E599;1278220;30;0003
E599;1330015;7;0003
E599;1347873;4;0003
E599;1302610;29;0003
E599;1104323;30;0003
E599;1227602;6;0003
E599;1301397;6;0003
E599;1173016;3;0003
E599;1182002;30;0003
E599;1310635;30;0003
E599;1319436;30;0003
E599;1060317;30;0003
E599;1203762;19;0003
E599;1248020;16;0003
E599;1248021;19;0003
E599;1310350;16;0003
E599;1200608;30;0003
E599;1272677;30;0003
E599;1306009;8;0003
E599;1306959;30;0003
E599;1351410;30;0003
E599;866576;20;0003
E599;1164192;6;0003
E599;1307610;3;0003
E599;1314441;4;0003
E599;1314444;4;0003
E599;917996;12;0003
E599;1269395;4;0003
E599;1275282;24;0003
E599;1316975;5;0003
E599;1320958;19;0003
E599;926085;30;0003
E599;1182111001;30;0003
E599;1185732;6;0003
E599;1234084;3;0003
E599;1236861;30;0003
E599;1254226;30;0003
E599;1293823;30;0003
E599;9003999;30;0003
E599;1182111003;30;0003
E599;1210470;30;0003
E599;9006669;30;0003
E599;1312826;30;0003
