sellers;sku_sap;stock_seguridad
E525;1335662;10000
E525;1335814;10000
E525;1339165;10000
E525;1339611;10000
E525;1341502;10000
E525;1341503;10000
E525;1341504;10000
E525;1341505;10000
E525;1341506;10000
E525;1341507;10000
E525;1341508;10000
E525;1341509;10000
E525;1341558;10000
E525;1343565;10000
E525;1343566;10000
E525;1343567;10000
E525;1343570;10000
E525;1345077;10000
E525;1345078;10000
E525;1345080;10000
E525;1345082;10000
E525;1345083;10000
E525;1345086;10000
E525;1345087;10000
E525;1345294;10000
E525;1346048;10000
E525;1346049;10000
E525;1346328;10000
E525;1347061;10000
E525;1347063;10000
E525;1347064;10000
E525;1347071;10000
E525;1347072;10000
E525;1347055;10000
E525;1347056;10000
E525;1347058;10000
E525;1347059;10000
E525;1347362;10000
E525;1347363;10000
E525;1348092;10000
E525;1348098;10000
E525;1351456;10000
E525;1351697;10000
E525;1352015;10000
E525;2227776;10000
E525;1273803;10000
E525;1277454;10000
E525;1277457;10000
E525;1277459;10000
E525;1310635;10000
E525;1311875;10000
E525;1311876;10000
E525;1323156;10000
E525;1323159;10000
E525;151983;10000
E525;152010;10000
E525;152011;10000
E525;152193;10000
E525;152197;10000
E525;152839;10000
E525;152841;10000
E525;235574;10000
E525;509542;10000
E525;604509;10000
E525;615513;10000
E525;615514;10000
E525;615517;10000
E525;615518;10000
E525;615519;10000
E525;615520;10000
E525;615521;10000
E525;620011;10000
E525;750220;10000
E525;750213;10000
E525;835604;10000
E525;835589;10000
E525;888324;10000
E525;899626;10000
E525;919982;10000
E525;1033400;10000
E525;1048856;10000
E525;1054582;10000
E525;1076126;10000
E525;1076127;10000
E525;1081380;10000
E525;1084050;10000
E525;1084051;10000
E525;1084053;10000
E525;1093424;10000
E525;1094234;10000
E525;1099814;10000
E525;1100184;10000
E525;1099709;10000
E525;1101492;10000
E525;1102951;10000
E525;1122655;10000
E525;1126416;10000
E525;1128739;10000
E525;1128740;10000
E525;1136917;10000
E525;1136918;10000
E525;1144665;10000
E525;1157778;10000
E525;1172367;10000
E525;1173142;10000
E525;1190871;10000
E525;1193059;10000
E525;1193110;10000
E525;1193111;10000
E525;1193551;10000
