Seller;Articulo;Stock  seg.;Stock
E599001;1286433;90000;432
E599001;629059;90000;260
E599001;1169601;90000;3795
E599001;1169603;90000;5775
E599001;1292933;90000;3839
E599001;1184528;90000;24
E599001;1286758;90000;77
E599001;1282372;90000;576
E599001;1282469;90000;192
E599001;1301169;90000;9
E599001;1304896;90000;514
E599001;9000017;90000;192
E599001;9000019;90000;576
E599001;9000006;90000;108
E599001;1203762;90000;12
E599001;1337291;90000;1704
E599001;1337293;90000;1104
E599001;1337311;90000;1020
E599001;1319438;90000;282
E599001;1236930;90000;264
E599001;1332584;90000;6820
E599001;1333172;90000;306
E599001;1333175;90000;270
E599001;1333176;90000;270
E599001;1333178;90000;270
E599001;1333180;90000;270
E599001;1333195;90000;600
E599001;1333231;90000;1464
E599001;1337296;90000;1008
E599001;1337328;90000;1536
E599001;1241073;90000;6
E599001;1238018;90000;348
E599001;1331530;90000;102
E599001;1333193;90000;270
E599001;1323159;90000;53
E599001;1308672;90000;1
E599001;1308689;90000;48
E599001;1308691;90000;42
E599001;1055030;90000;4212
E599001;1299937;90000;89
E599001;1319428;90000;984
E599001;904681;90000;3
E599001;1217440;90000;777
E599001;1181404002;90000;80
E599001;1315952;90000;19
E599001;1315973;90000;96
E599001;1315988;90000;1
E599001;1123927;90000;47
E599001;1220435;90000;276
E599001;1224782;90000;4
E599001;9004863;90000;600
E599001;1315987;90000;1
E599001;1319062;90000;1008
E599001;1317513;90000;168
E599001;9005811;90000;6
E599001;1333177;90000;270
E599001;1333179;90000;270
E599001;1333191;90000;270
E599001;1333194;90000;540
E599001;1331531;90000;234
E599001;1333173;90000;306
E599001;1333181;90000;270
E599001;1333182;90000;270
E599001;1257304;90000;2
E599001;1303963;90000;72
E599001;1303970;90000;50
E599001;1188403;90000;84
E599001;9012511;90000;480
E599001;1203451;90000;930
E599001;1318283;90000;528
E599001;1213017;90000;1
E599001;1254344;90000;2
E599001;1337346;90000;1008
E599001;1337370;90000;1008
E599001;1254337;90000;1
E599001;1181199;90000;1640
E599001;1305540;90000;348
E599001;1305548;90000;1036
E599001;1315546;90000;96
E599001;9000665;90000;4416
E599001;1262095;90000;40
E599001;1333708;90000;696
E599001;1333711;90000;1800
E599001;1336184;90000;3120
E599001;1336188;90000;1704
E599001;1337133;90000;1536
E599001;1337157;90000;1000
E599001;1333706;90000;720
E599001;1333707;90000;756
E599001;1305542;90000;348
E599001;1305547;90000;160
E599001;1333652;90000;9408
E599001;1255227;90000;36
E599001;1318285;90000;288
E599001;1334477;90000;960
E599001;1212424;90000;5
E599001;1229301;90000;4
E599001;1333698;90000;2616
E599001;1333705;90000;720
E599001;1334445;90000;68
E599001;1333629;90000;510
E599001;1333646;90000;380
E599001;1333647;90000;580
E599001;1333648;90000;340
E599001;1213020;90000;708
E599001;1213025;90000;6
E599001;1318276;90000;240
E599001;1318282;90000;624
E599001;1307867;90000;36
E599001;1305517;90000;120
E599001;1305518;90000;188
E599001;1305521;90000;120
E599001;1305541;90000;544
E599001;1305544;90000;81
E599001;1305546;90000;184
E599001;1305519;90000;165
E599001;1305538;90000;36
E599001;1333080;90000;50
E599001;1333699;90000;708
E599001;1333704;90000;684
E599001;1333780;90000;720
E599001;1333700;90000;720
E599001;1336179;90000;960
E599001;1237153;90000;78
E599001;9000710;90000;630
E599001;9000751;90000;60
E599001;1241761;90000;7600
E599001;9006669;90000;700
E599001;1236861;90000;1920
E599001;1227660;90000;31
E599001;1266012;90000;5388
E599001;9000675;90000;2832
E599001;1248021;90000;696
E599001;1333631;90000;510
E599001;1333634;90000;330
E599001;9006894;90000;402
E599001;1336040;90000;1044
E599001;1252680;90000;1
E599001;1336178;90000;900
E599001;1336180;90000;2016
E599001;1337123;90000;1200
E599001;1221867;90000;427
E599001;1333630;90000;330
E599001;1333651;90000;340
E599001;1213033;90000;6
E599001;1211627;90000;1780
E599001;1208650;90000;702
E599001;1213021;90000;1248
E599001;1218327;90000;168
E599001;1181198;90000;1290
E599001;1236857;90000;6
E599001;1333781;90000;720
E599001;1337040;90000;1008
E599001;1337042;90000;4032
E599001;1337072;90000;1344
E599001;1240492;90000;4
E599001;9004012;90000;1580
E599001;1246624;90000;2
E599001;1252895;90000;2340
E599001;1255892;90000;2
E599001;1256465;90000;576
E599001;1252880;90000;7
E599001;1252890;90000;33
E599001;1252936;90000;1220
E599001;1256467;90000;324
