sellers;sku_sap;stock_seguridad
E633;716042;1
E633;716042;1
E633;716043;1
E633;716043;1
E633;716044;1
E633;716044;1
E633;716045;1
E633;716045;1
E633;852216;1
E633;852216;1
E614;1160513;1
E614;1160513;1
E614;1162694;1
E614;1162694;1
E614;1162695;1
E614;1162695;1
E614;1166908;1
E614;1166908;1
E614;1172900;1
E614;1172900;1
E614;1172901;1
E614;1172901;1
E614;1172902;1
E614;1172902;1
E614;1172903;1
E614;1172903;1
E614;1172905;1
E614;1172905;1
E614;1172906;1
E614;1172906;1
E614;1172907;1
E614;1172907;1
E614;1172908;1
E614;1172908;1
E614;1172909;1
E614;1172909;1
E614;1188048;1
E614;1188048;1
E614;1212294;1
E614;1212294;1
E614;1212781;1
E614;1212781;1
E614;1220501;1
E614;1220501;1
E614;1220502;1
E614;1220502;1
E614;1220503;1
E614;1220503;1
E614;1220505;1
E614;1220505;1
E614;1231821;1
E614;1231821;1
E614;1253400;1
E614;1253400;1
E614;1253861;1
E614;1253861;1
E614;1253870;1
E614;1253870;1
E614;1254954;1
E614;1254954;1
E614;1254954;1
E614;1254955;1
E614;1254955;1
E614;1254955;1
E614;1254962;1
E614;1254962;1
E614;1275235;1
E614;1275235;1
E614;1284451;1
E614;1284451;1
E614;130496;1
E614;130496;1
E614;1308904;1
E614;1308904;1
E614;131183;1
E614;131183;1
E614;131184;1
E614;131184;1
E614;132863;1
E614;132863;1
E614;716042;1
E614;716042;1
E614;716043;1
E614;716043;1
E614;716044;1
E614;716044;1
E614;716045;1
E614;716045;1
E614;852216;1
E614;852216;1
E988;1160513;1
E988;1160513;1
E988;1162694;1
E988;1162694;1
E988;1162695;1
E988;1162695;1
E988;1166908;1
E988;1166908;1
E988;1172900;1
E988;1172900;1
E988;1172901;1
E988;1172901;1
E988;1172902;1
E988;1172902;1
E988;1172903;1
E988;1172903;1
E988;1172905;1
E988;1172905;1
E988;1172906;1
E988;1172906;1
E988;1172907;1
E988;1172907;1
E988;1172908;1
E988;1172908;1
E988;1172909;1
E988;1172909;1
E988;1188048;1
E988;1188048;1
E988;1212294;1
E988;1212294;1
E988;1212781;1
E988;1212781;1
E988;1220501;1
E988;1220501;1
E988;1220502;1
E988;1220502;1
E988;1220503;1
E988;1220503;1
E988;1220505;1
E988;1220505;1
E988;1231821;1
E988;1231821;1
E988;1253400;1
E988;1253400;1
E988;1253861;1
E988;1253861;1
E988;1253870;1
E988;1253870;1
E988;1254954;1
E988;1254954;1
E988;1254954;1
E988;1254955;1
E988;1254955;1
E988;1254955;1
E988;1254962;1
E988;1254962;1
E988;1275235;1
E988;1275235;1
E988;1284451;1
E988;1284451;1
E988;130496;1
E988;130496;1
E988;1308904;1
E988;1308904;1
E988;131183;1
E988;131183;1
E988;131184;1
E988;131184;1
E988;132863;1
E988;132863;1
E988;716042;1
E988;716042;1
E988;716043;1
E988;716043;1
E988;716044;1
E988;716044;1
E988;716045;1
E988;716045;1
E988;852216;1
E988;852216;1
E990;1160513;1
E990;1160513;1
E990;1162694;1
E990;1162694;1
E990;1162695;1
E990;1162695;1
E990;1166908;1
E990;1166908;1
E990;1172900;1
E990;1172900;1
E990;1172901;1
E990;1172901;1
E990;1172902;1
E990;1172902;1
E990;1172903;1
E990;1172903;1
E990;1172905;1
E990;1172905;1
E990;1172906;1
E990;1172906;1
E990;1172907;1
E990;1172907;1
E990;1172908;1
E990;1172908;1
E990;1172909;1
E990;1172909;1
E990;1188048;1
E990;1188048;1
E990;1212294;1
E990;1212294;1
E990;1212781;1
E990;1212781;1
E990;1220501;1
E990;1220501;1
E990;1220502;1
E990;1220502;1
E990;1220503;1
E990;1220503;1
E990;1220505;1
E990;1220505;1
E990;1231821;1
E990;1231821;1
E990;1253400;1
E990;1253400;1
E990;1253861;1
E990;1253861;1
E990;1253870;1
E990;1253870;1
E990;1254954;1
E990;1254954;1
E990;1254954;1
E990;1254955;1
E990;1254955;1
E990;1254955;1
E990;1254962;1
E990;1254962;1
E990;1275235;1
E990;1275235;1
E990;1284451;1
E990;1284451;1
E990;130496;1
E990;130496;1
E990;1308904;1
E990;1308904;1
E990;131183;1
E990;131183;1
E990;131184;1
E990;131184;1
E990;132863;1
E990;132863;1
E990;716042;1
E990;716042;1
E990;716043;1
E990;716043;1
E990;716044;1
E990;716044;1
E990;716045;1
E990;716045;1
E990;852216;1
E990;852216;1
E525;1160513;1
E525;1160513;1
E525;1162694;1
E525;1162694;1
E525;1162695;1
E525;1162695;1
E525;1166908;1
E525;1166908;1
E525;1172900;1
E525;1172900;1
E525;1172901;1
E525;1172901;1
E525;1172902;1
E525;1172902;1
E525;1172903;1
E525;1172903;1
E525;1172905;1
E525;1172905;1
E525;1172906;1
E525;1172906;1
E525;1172907;1
E525;1172907;1
E525;1172908;1
E525;1172908;1
E525;1172909;1
E525;1172909;1
E525;1188048;1
E525;1188048;1
